log,source,label
Jun 17 20:55:06 combo ftpd[30753]: connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Fri Jun 17 20:55:06 2005,Linux,Normal Activity
Jun 17 20:55:06 combo ftpd[30756]: connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Fri Jun 17 20:55:06 2005,Linux,Normal Activity
Jun 17 20:55:06 combo ftpd[30757]: connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Fri Jun 17 20:55:06 2005,Linux,Normal Activity
Jun 17 20:55:07 combo ftpd[30758]: connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Fri Jun 17 20:55:07 2005,Linux,Normal Activity
Jun 17 20:55:07 combo ftpd[30759]: connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Fri Jun 17 20:55:07 2005,Linux,Normal Activity
Jun 18 01:30:59 combo sshd(pam_unix)[31201]: check pass; user unknown,Linux,Normal Activity
Jun 18 01:30:59 combo sshd(pam_unix)[31201]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=adsl-70-242-75-179.dsl.ksc2mo.swbell.net,Linux,Brute Force Attack
Jun 18 01:30:59 combo sshd(pam_unix)[31199]: check pass; user unknown,Linux,Normal Activity
Jun 18 01:30:59 combo sshd(pam_unix)[31199]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=adsl-70-242-75-179.dsl.ksc2mo.swbell.net,Linux,Brute Force Attack
Jun 18 01:30:59 combo sshd(pam_unix)[31198]: check pass; user unknown,Linux,Normal Activity
Jun 18 01:30:59 combo sshd(pam_unix)[31198]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=adsl-70-242-75-179.dsl.ksc2mo.swbell.net,Linux,Brute Force Attack
Jun 18 01:30:59 combo sshd(pam_unix)[31202]: check pass; user unknown,Linux,Normal Activity
Jun 18 01:30:59 combo sshd(pam_unix)[31202]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=adsl-70-242-75-179.dsl.ksc2mo.swbell.net,Linux,Brute Force Attack
Jun 18 01:30:59 combo sshd(pam_unix)[31205]: check pass; user unknown,Linux,Normal Activity
Jun 18 01:30:59 combo sshd(pam_unix)[31205]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=adsl-70-242-75-179.dsl.ksc2mo.swbell.net,Linux,Brute Force Attack
Jun 18 01:30:59 combo sshd(pam_unix)[31200]: check pass; user unknown,Linux,Normal Activity
Jun 18 01:30:59 combo sshd(pam_unix)[31200]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=adsl-70-242-75-179.dsl.ksc2mo.swbell.net,Linux,Brute Force Attack
Jun 18 01:30:59 combo sshd(pam_unix)[31206]: check pass; user unknown,Linux,Normal Activity
Jun 18 01:30:59 combo sshd(pam_unix)[31206]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=adsl-70-242-75-179.dsl.ksc2mo.swbell.net,Linux,Brute Force Attack
Jun 18 01:30:59 combo sshd(pam_unix)[31204]: check pass; user unknown,Linux,Normal Activity
Jun 18 01:30:59 combo sshd(pam_unix)[31204]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=adsl-70-242-75-179.dsl.ksc2mo.swbell.net,Linux,Brute Force Attack
Jun 18 01:30:59 combo sshd(pam_unix)[31203]: check pass; user unknown,Linux,Normal Activity
Jun 18 01:30:59 combo sshd(pam_unix)[31203]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=adsl-70-242-75-179.dsl.ksc2mo.swbell.net,Linux,Brute Force Attack
Jun 18 01:30:59 combo sshd(pam_unix)[31207]: check pass; user unknown,Linux,Normal Activity
Jun 18 01:30:59 combo sshd(pam_unix)[31207]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=adsl-70-242-75-179.dsl.ksc2mo.swbell.net,Linux,Brute Force Attack
Jun 18 02:08:10 combo ftpd[31272]: connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Jun 18 02:08:10 2005,Linux,Normal Activity
Jun 18 02:08:10 combo ftpd[31273]: connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Jun 18 02:08:10 2005,Linux,Normal Activity
Jun 18 02:08:10 combo ftpd[31274]: connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Jun 18 02:08:10 2005,Linux,Normal Activity
Jun 18 02:08:10 combo ftpd[31275]: connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Jun 18 02:08:10 2005,Linux,Normal Activity
Jun 18 02:08:10 combo ftpd[31276]: connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Jun 18 02:08:10 2005,Linux,Normal Activity
Jun 18 02:08:10 combo ftpd[31277]: connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Jun 18 02:08:10 2005,Linux,Normal Activity
Jun 18 02:08:10 combo ftpd[31278]: connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Jun 18 02:08:10 2005,Linux,Normal Activity
Jun 18 02:08:11 combo ftpd[31279]: connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Jun 18 02:08:11 2005,Linux,Normal Activity
Jun 18 02:08:11 combo ftpd[31280]: connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Jun 18 02:08:11 2005,Linux,Normal Activity
Jun 18 02:08:11 combo ftpd[31281]: connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Jun 18 02:08:11 2005,Linux,Normal Activity
Jun 18 02:08:11 combo ftpd[31282]: connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Jun 18 02:08:11 2005,Linux,Normal Activity
Jun 18 02:08:11 combo ftpd[31283]: connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Jun 18 02:08:11 2005,Linux,Normal Activity
Jun 18 02:08:12 combo ftpd[31284]: connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Jun 18 02:08:12 2005,Linux,Normal Activity
Jun 18 02:08:12 combo ftpd[31285]: connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Jun 18 02:08:12 2005,Linux,Normal Activity
Jun 18 02:08:12 combo ftpd[31286]: connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Jun 18 02:08:12 2005,Linux,Normal Activity
Jun 18 02:23:10 combo ftpd[31277]: User unknown timed out after 900 seconds at Sat Jun 18 02:23:10 2005,Linux,Normal Activity
Jun 18 04:07:05 combo su(pam_unix)[31791]: session opened for user cyrus by (uid=0),Linux,Normal Activity
Jun 18 04:07:06 combo su(pam_unix)[31791]: session closed for user cyrus,Linux,Normal Activity
Jun 18 04:07:06 combo logrotate: ALERT exited abnormally with [1],Linux,Normal Activity
Jun 18 04:12:42 combo su(pam_unix)[32164]: session opened for user news by (uid=0),Linux,Normal Activity
Jun 18 04:12:43 combo su(pam_unix)[32164]: session closed for user news,Linux,Normal Activity
Jun 19 04:08:55 combo su(pam_unix)[2192]: session opened for user cyrus by (uid=0),Linux,Normal Activity
Jun 19 04:08:55 combo su(pam_unix)[2192]: session closed for user cyrus,Linux,Normal Activity
Jun 19 04:08:57 combo cups: cupsd shutdown succeeded,Linux,Normal Activity
Jun 19 04:09:02 combo cups: cupsd startup succeeded,Linux,Normal Activity
Jun 19 04:09:11 combo syslogd 1.4.1: restart.,Linux,Normal Activity
Jun 19 04:09:11 combo logrotate: ALERT exited abnormally with [1],Linux,Normal Activity
Jun 19 04:15:18 combo su(pam_unix)[3676]: session opened for user news by (uid=0),Linux,Normal Activity
Jun 19 04:15:18 combo su(pam_unix)[3676]: session closed for user news,Linux,Normal Activity
Jun 20 03:40:59 combo ftpd[8829]: connection from 222.33.90.199 () at Mon Jun 20 03:40:59 2005,Linux,Normal Activity
Jun 20 03:40:59 combo ftpd[8824]: connection from 222.33.90.199 () at Mon Jun 20 03:40:59 2005,Linux,Normal Activity
Jun 20 03:40:59 combo ftpd[8828]: connection from 222.33.90.199 () at Mon Jun 20 03:40:59 2005,Linux,Normal Activity
Jun 20 03:40:59 combo ftpd[8822]: connection from 222.33.90.199 () at Mon Jun 20 03:40:59 2005,Linux,Normal Activity
Jun 20 03:40:59 combo ftpd[8833]: connection from 222.33.90.199 () at Mon Jun 20 03:40:59 2005,Linux,Normal Activity
Jun 20 03:40:59 combo ftpd[8827]: connection from 222.33.90.199 () at Mon Jun 20 03:40:59 2005,Linux,Normal Activity
Jun 20 03:40:59 combo ftpd[8823]: connection from 222.33.90.199 () at Mon Jun 20 03:40:59 2005,Linux,Normal Activity
Jun 20 03:40:59 combo ftpd[8825]: connection from 222.33.90.199 () at Mon Jun 20 03:40:59 2005,Linux,Normal Activity
Jun 20 03:40:59 combo ftpd[8826]: connection from 222.33.90.199 () at Mon Jun 20 03:40:59 2005,Linux,Normal Activity
Jun 20 03:40:59 combo ftpd[8832]: connection from 222.33.90.199 () at Mon Jun 20 03:40:59 2005,Linux,Normal Activity
Jun 20 03:40:59 combo ftpd[8830]: connection from 222.33.90.199 () at Mon Jun 20 03:40:59 2005,Linux,Normal Activity
Jun 20 03:40:59 combo ftpd[8831]: connection from 222.33.90.199 () at Mon Jun 20 03:40:59 2005,Linux,Normal Activity
Jun 20 04:02:54 combo su(pam_unix)[9187]: session opened for user cyrus by (uid=0),Linux,Normal Activity
Jun 20 04:02:54 combo su(pam_unix)[9187]: session closed for user cyrus,Linux,Normal Activity
Jun 20 04:02:55 combo logrotate: ALERT exited abnormally with [1],Linux,Normal Activity
Jun 20 04:08:37 combo su(pam_unix)[9558]: session opened for user news by (uid=0),Linux,Normal Activity
Jun 20 04:08:38 combo su(pam_unix)[9558]: session closed for user news,Linux,Normal Activity
Jun 20 04:44:39 combo snmpd[2318]: Received SNMP packet(s) from 67.170.148.126,Linux,Normal Activity
Jun 20 09:20:05 combo sshd(pam_unix)[10035]: check pass; user unknown,Linux,Normal Activity
Jun 20 09:20:05 combo sshd(pam_unix)[10035]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=65.166.159.14,Linux,Brute Force Attack
Jun 20 09:20:05 combo sshd(pam_unix)[10037]: check pass; user unknown,Linux,Normal Activity
Jun 20 09:20:05 combo sshd(pam_unix)[10037]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=65.166.159.14,Linux,Brute Force Attack
Jun 20 09:20:05 combo sshd(pam_unix)[10039]: check pass; user unknown,Linux,Normal Activity
Jun 20 09:20:05 combo sshd(pam_unix)[10039]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=65.166.159.14,Linux,Brute Force Attack
Jun 20 09:20:06 combo sshd(pam_unix)[10041]: check pass; user unknown,Linux,Normal Activity
Jun 20 09:20:06 combo sshd(pam_unix)[10041]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=65.166.159.14,Linux,Brute Force Attack
Jun 20 09:20:07 combo sshd(pam_unix)[10043]: check pass; user unknown,Linux,Normal Activity
Jun 20 09:20:07 combo sshd(pam_unix)[10043]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=65.166.159.14,Linux,Brute Force Attack
Jun 20 09:20:07 combo sshd(pam_unix)[10045]: check pass; user unknown,Linux,Normal Activity
Jun 20 09:20:07 combo sshd(pam_unix)[10045]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=65.166.159.14,Linux,Brute Force Attack
Jun 20 09:20:07 combo sshd(pam_unix)[10047]: check pass; user unknown,Linux,Normal Activity
Jun 20 09:20:07 combo sshd(pam_unix)[10047]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=65.166.159.14,Linux,Brute Force Attack
Jun 20 09:20:07 combo sshd(pam_unix)[10049]: check pass; user unknown,Linux,Normal Activity
Jun 20 09:20:07 combo sshd(pam_unix)[10049]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=65.166.159.14,Linux,Brute Force Attack
Jun 20 09:20:08 combo sshd(pam_unix)[10051]: check pass; user unknown,Linux,Normal Activity
Jun 20 09:20:08 combo sshd(pam_unix)[10051]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=65.166.159.14,Linux,Brute Force Attack
Jun 20 09:20:08 combo sshd(pam_unix)[10053]: check pass; user unknown,Linux,Normal Activity
Jun 20 09:20:08 combo sshd(pam_unix)[10053]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=65.166.159.14,Linux,Brute Force Attack
Jun 21 04:06:57 combo su(pam_unix)[12098]: session opened for user cyrus by (uid=0),Linux,Normal Activity
Jun 21 04:06:58 combo su(pam_unix)[12098]: session closed for user cyrus,Linux,Normal Activity
Jun 21 04:06:59 combo logrotate: ALERT exited abnormally with [1],Linux,Normal Activity
Jun 21 04:13:03 combo su(pam_unix)[13327]: session opened for user news by (uid=0),Linux,Normal Activity
Jun 21 04:13:04 combo su(pam_unix)[13327]: session closed for user news,Linux,Normal Activity
Jun 21 08:56:36 combo sshd(pam_unix)[14281]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=217.60.212.66  user=guest,Linux,Brute Force Attack
Jun 21 08:56:36 combo sshd(pam_unix)[14279]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=217.60.212.66  user=guest,Linux,Brute Force Attack
Jun 21 08:56:36 combo sshd(pam_unix)[14282]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=217.60.212.66  user=guest,Linux,Brute Force Attack
Jun 21 08:56:36 combo sshd(pam_unix)[14277]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=217.60.212.66  user=guest,Linux,Brute Force Attack
