log,label
Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Normal Activity
Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Normal Activity
workerEnv.init() ok /etc/httpd/conf/workers2.properties,Normal Activity
Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Normal Activity
Failed password for root from 183.62.140.253 port 60834 ssh2,Brute Force Attack
Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Normal Activity
pam_unix(sshd:auth): check pass; user unknown,Brute Force Attack
"Read out cached package applicability for package: Package_for_KB2807986~31bf3856ad364e35~amd64~~6.1.1.2, ApplicableState: 112, CurrentState:112",Normal Activity
pam_unix(sshd:auth): check pass; user unknown,Brute Force Attack
"Read out cached package applicability for package: Package_for_KB3184471~31bf3856ad364e35~amd64~~6.1.1.1, ApplicableState: 0, CurrentState:0",Normal Activity
infected file detected during security scan,Malware Activity
Received disconnect from 183.62.140.253: 11: Bye Bye [preauth],Brute Force Attack
Received disconnect from 183.62.140.253: 11: Bye Bye [preauth],Brute Force Attack
Failed password for invalid user default from 5.188.10.180 port 41538 ssh2,Brute Force Attack
malware signature detected by security scanner,Malware Activity
Received disconnect from 183.62.140.253: 11: Bye Bye [preauth],Brute Force Attack
root privileges obtained by user user1,Privilege Escalation
connection from 211.72.151.162 () at Mon Jul 18 03:26:49 2005,Normal Activity
mod_jk child workerEnv in error state 6,Suspicious Activity
connection from 218.146.61.230 () at Sun Jul 17 08:06:12 2005,Normal Activity
pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=183.62.140.253  user=root,Brute Force Attack
Session: 30546173_4280613482 initialized by client WindowsUpdateAgent.,Normal Activity
Session: 30546354_3217926235 initialized by client WindowsUpdateAgent.,Normal Activity
Received disconnect from 183.62.140.253: 11: Bye Bye [preauth],Brute Force Attack
connection from 212.65.68.82 () at Sat Jul 16 08:14:07 2005,Normal Activity
check pass; user unknown,Brute Force Attack
jk2_init() Found child 6028 in scoreboard slot 9,Normal Activity
jk2_init() Found child 5034 in scoreboard slot 6,Normal Activity
session closed for user cyrus,Suspicious Activity
pam_unix(sshd:auth): check pass; user unknown,Brute Force Attack
user user1 attempted unauthorized root access,Privilege Escalation
root privileges obtained by user unknown,Privilege Escalation
connection from 62.99.164.82 (62.99.164.82.sh.interxion.inode.at) at Sun Jul  3 23:16:09 2005,Normal Activity
pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=187.141.143.180  user=root,Brute Force Attack
"Read out cached package applicability for package: Package_for_KB3185911~31bf3856ad364e35~amd64~~6.1.1.0, ApplicableState: 112, CurrentState:112",Normal Activity
Warning: Unrecognized packageExtended attribute.,Normal Activity
Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Normal Activity
user root executed sudo command with elevated privileges,Privilege Escalation
Session: 30546354_3343473416 initialized by client WindowsUpdateAgent.,Normal Activity
session opened for user news by (uid=0),Brute Force Attack
connection from 211.42.188.206 () at Fri Jul 22 09:27:24 2005,Normal Activity
Received disconnect from 187.141.143.180: 11: Bye Bye [preauth],Brute Force Attack
"Read out cached package applicability for package: Package_for_KB3121461~31bf3856ad364e35~amd64~~6.1.1.2, ApplicableState: 80, CurrentState:112",Normal Activity
mod_jk child workerEnv in error state 6,Suspicious Activity
connection from 84.102.20.2 () at Sun Jul 24 02:38:22 2005,Normal Activity
Received disconnect from 183.62.140.253: 11: Bye Bye [preauth],Brute Force Attack
infected file detected during security scan,Malware Activity
connection from 24.54.76.216 (24-54-76-216.bflony.adelphia.net) at Fri Jun 17 07:07:02 2005,Suspicious Activity
connection from 84.102.20.2 () at Sun Jul 24 02:38:22 2005,Normal Activity
malware signature detected by security scanner,Malware Activity
virus scan detected malicious executable,Malware Activity
virus scan detected malicious executable,Malware Activity
connection from 83.116.207.11 (aml-sfh-3310b.adsl.wanadoo.nl) at Sun Jul 17 06:13:38 2005,Normal Activity
Invalid user default from 5.188.10.180,Brute Force Attack
jk2_init() Found child 2854 in scoreboard slot 7,Normal Activity
Failed password for root from 183.62.140.253 port 45512 ssh2,Brute Force Attack
pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=183.62.140.253  user=root,Brute Force Attack
Received disconnect from 183.62.140.253: 11: Bye Bye [preauth],Brute Force Attack
connection from 81.171.220.226 () at Sat Jul  9 12:59:44 2005,Normal Activity
connection from 211.72.151.162 () at Wed Jul  6 18:00:56 2005,Normal Activity
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=150.183.249.110  user=root,Brute Force Attack
pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=112.95.230.3  user=root,Brute Force Attack
unauthorized privilege escalation detected for user user1,Privilege Escalation
workerEnv.init() ok /etc/httpd/conf/workers2.properties,Normal Activity
pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=187.141.143.180,Brute Force Attack
mod_jk child workerEnv in error state 7,Suspicious Activity
Warning: Unrecognized packageExtended attribute.,Normal Activity
connection from 220.94.205.45 () at Sun Jul 10 13:17:22 2005,Normal Activity
infected file detected during security scan,Malware Activity
workerEnv.init() ok /etc/httpd/conf/workers2.properties,Normal Activity
Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Normal Activity
session opened for user test by (uid=509),Brute Force Attack
Failed password for invalid user admin from 119.4.203.64 port 2191 ssh2,Brute Force Attack
mod_jk child workerEnv in error state 6,Suspicious Activity
virus scan detected malicious executable,Malware Activity
session opened for user news by (uid=0),Normal Activity
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=207.243.167.114  user=root,Brute Force Attack
Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Normal Activity
connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Fri Jun 17 20:55:06 2005,Suspicious Activity
jk2_init() Found child 1999 in scoreboard slot 6,Normal Activity
infected file detected during security scan,Malware Activity
mod_jk child workerEnv in error state 6,Suspicious Activity
jk2_init() Found child 1255 in scoreboard slot 8,Normal Activity
pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=60.2.12.12  user=root,Brute Force Attack
connection from 202.82.200.188 () at Thu Jul  7 16:33:52 2005,Normal Activity
Session: 30546354_3072147897 initialized by client WindowsUpdateAgent.,Normal Activity
jk2_init() Found child 1964 in scoreboard slot 7,Normal Activity
unauthorized privilege escalation detected for user user1,Privilege Escalation
user guest gained administrative privileges,Privilege Escalation
Session: 30546174_90352174 initialized by client WindowsUpdateAgent.,Normal Activity
pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=183.62.140.253  user=root,Brute Force Attack
Warning: Unrecognized packageExtended attribute.,Normal Activity
Session: 30546174_132514586 initialized by client WindowsUpdateAgent.,Normal Activity
jk2_init() Found child 1336 in scoreboard slot 10,Normal Activity
"Read out cached package applicability for package: Package_for_KB2853587~31bf3856ad364e35~amd64~~6.1.1.2, ApplicableState: 0, CurrentState:0",Normal Activity
Session: 30546354_3342443357 initialized by client WindowsUpdateAgent.,Normal Activity
pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=187.141.143.180  user=root,Brute Force Attack
Warning: Unrecognized packageExtended attribute.,Normal Activity
connection from 217.187.83.139 () at Sun Jul 10 03:55:15 2005,Normal Activity
portmap startup succeeded,Normal Activity
mod_jk child workerEnv in error state 8,Suspicious Activity
mod_jk child workerEnv in error state 6,Suspicious Activity
Failed password for invalid user postgres from 187.141.143.180 port 54596 ssh2,Brute Force Attack
Session: 30546174_43599500 initialized by client WindowsUpdateAgent.,Normal Activity
trojan activity detected on host,Malware Activity
jk2_init() Found child 2880 in scoreboard slot 8,Normal Activity
connection from 206.47.209.10 () at Mon Jul 25 06:39:18 2005,Normal Activity
Invalid user matlab from 52.80.34.196,Brute Force Attack
"Read out cached package applicability for package: Package_for_KB3003743~31bf3856ad364e35~amd64~~6.1.1.1, ApplicableState: 112, CurrentState:112",Normal Activity
Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Normal Activity
"Read out cached package applicability for package: Package_for_KB2640148~31bf3856ad364e35~amd64~~6.1.2.0, ApplicableState: 112, CurrentState:112",Normal Activity
Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Normal Activity
"Read out cached package applicability for package: Package_for_KB3181988~31bf3856ad364e35~amd64~~6.1.1.1, ApplicableState: 112, CurrentState:112",Normal Activity
root privileges obtained by user unknown,Privilege Escalation
Warning: Unrecognized packageExtended attribute.,Normal Activity
jk2_init() Found child 32679 in scoreboard slot 8,Normal Activity
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=n219076184117.netvigator.com  user=root,Brute Force Attack
Failed password for root from 183.62.140.253 port 51094 ssh2,Brute Force Attack
Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Normal Activity
workerEnv.init() ok /etc/httpd/conf/workers2.properties,Normal Activity
Failed password for root from 112.95.230.3 port 53584 ssh2,Brute Force Attack
Failed password for root from 183.62.140.253 port 57092 ssh2,Brute Force Attack
Kerberos authentication failed,Normal Activity
pam_unix(sshd:auth): check pass; user unknown,Brute Force Attack
Failed password for root from 183.62.140.253 port 60554 ssh2,Brute Force Attack
connection from 217.187.83.50 () at Mon Jul 25 23:24:09 2005,Normal Activity
jk2_init() Found child 351 in scoreboard slot 10,Normal Activity
pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=183.62.140.253  user=root,Brute Force Attack
Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Normal Activity
Kerberos authentication failed,Normal Activity
jk2_init() Found child 1990 in scoreboard slot 9,Normal Activity
pam_unix(sshd:auth): check pass; user unknown,Brute Force Attack
pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=103.99.0.122,Brute Force Attack
malware signature detected by security scanner,Malware Activity
malware activity detected in system file,Malware Activity
Failed password for root from 183.62.140.253 port 52590 ssh2,Brute Force Attack
connection from 210.245.165.136 () at Wed Jun 22 13:16:30 2005,Suspicious Activity
"Read out cached package applicability for package: Package_for_KB3005607~31bf3856ad364e35~amd64~~6.1.1.0, ApplicableState: 80, CurrentState:112",Normal Activity
"Read out cached package applicability for package: Package_for_KB2705219~31bf3856ad364e35~amd64~~6.1.2.0, ApplicableState: 112, CurrentState:112",Normal Activity
Received disconnect from 183.62.140.253: 11: Bye Bye [preauth],Brute Force Attack
malware signature detected by security scanner,Malware Activity
connection from 211.57.88.250 () at Sat Jul  9 11:35:59 2005,Normal Activity
Received disconnect from 183.62.140.253: 11: Bye Bye [preauth],Brute Force Attack
"Read out cached package applicability for package: Package_for_KB2685939~31bf3856ad364e35~amd64~~6.1.1.2, ApplicableState: 80, CurrentState:112",Normal Activity
pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=187.141.143.180  user=root,Brute Force Attack
user user1 attempted unauthorized root access,Privilege Escalation
Received disconnect from 183.62.140.253: 11: Bye Bye [preauth],Brute Force Attack
connection from 81.171.220.226 () at Sat Jul  9 12:59:44 2005,Normal Activity
0000000c ICSITransaction::Commit calling IStorePendingTransaction::Apply - coldpatching=FALSE applyflags=7,Normal Activity
jk2_init() Found child 32646 in scoreboard slot 6,Normal Activity
connection from 211.107.232.1 () at Fri Jul 15 23:42:43 2005,Normal Activity
infected file detected during security scan,Malware Activity
jk2_init() Found child 319 in scoreboard slot 7,Normal Activity
workerEnv.init() ok /etc/httpd/conf/workers2.properties,Normal Activity
mod_jk child workerEnv in error state 7,Suspicious Activity
Session: 30546174_25138444 initialized by client WindowsUpdateAgent.,Normal Activity
Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Normal Activity
[client 208.51.151.210] Directory index forbidden by rule: /var/www/html/,Suspicious Activity
Failed password for root from 183.62.140.253 port 50261 ssh2,Brute Force Attack
Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Normal Activity
Failed password for invalid user 123 from 185.190.58.151 port 48700 ssh2,Brute Force Attack
"Read out cached package applicability for package: Microsoft-Hyper-V-Integration-Services-Package~31bf3856ad364e35~amd64~~6.3.9600.17388, ApplicableState: 112, CurrentState:0",Normal Activity
Failed to internally open package. [HRESULT = 0x800f0805 - CBS_E_INVALID_PACKAGE],Normal Activity
Transparent bridge - 0000:00:1e.0,Normal Activity
Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Normal Activity
session opened for user cyrus by (uid=0),Normal Activity
connection from 82.68.222.194 (82-68-222-194.dsl.in-addr.zen.co.uk) at Sun Jul 17 21:23:20 2005,Normal Activity
workerEnv.init() ok /etc/httpd/conf/workers2.properties,Normal Activity
malware activity detected in system file,Malware Activity
jk2_init() Found child 1501 in scoreboard slot 7,Normal Activity
Kerberos authentication failed,Normal Activity
user unknown executed sudo command with elevated privileges,Privilege Escalation
check pass; user unknown,Brute Force Attack
Invalid user support from 103.207.39.212,Brute Force Attack
jk2_init() Found child 348 in scoreboard slot 7,Normal Activity
Invalid user nagios1 from 187.141.143.180,Brute Force Attack
root privileges obtained by user admin,Privilege Escalation
Session: 30546354_3283119964 initialized by client WindowsUpdateAgent.,Normal Activity
Warning: Unrecognized packageExtended attribute.,Normal Activity
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=ip-216-69-169-168.ip.secureserver.net,Brute Force Attack
mod_jk child workerEnv in error state 6,Suspicious Activity
malware activity detected in system file,Malware Activity
jk2_init() Found child 2815 in scoreboard slot 8,Normal Activity
"Read out cached package applicability for package: Package_for_KB3156016~31bf3856ad364e35~amd64~~6.1.1.1, ApplicableState: 112, CurrentState:112",Normal Activity
error: Received disconnect from 103.99.0.122: 14: No more user authentication methods available. [preauth],Brute Force Attack
session closed for user cyrus,Brute Force Attack
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=adsl-70-242-75-179.dsl.ksc2mo.swbell.net,Brute Force Attack
Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Normal Activity
reverse mapping checking getaddrinfo for customer-187-141-143-180-sta.uninet-ide.com.mx [187.141.143.180] failed - POSSIBLE BREAK-IN ATTEMPT!,Brute Force Attack
"Read out cached package applicability for package: Package_for_KB3005607~31bf3856ad364e35~amd64~~6.1.1.0, ApplicableState: 80, CurrentState:112",Normal Activity
Failed password for invalid user admin from 103.99.0.122 port 50011 ssh2,Brute Force Attack
connection from 210.245.165.136 () at Wed Jun 22 13:16:31 2005,Brute Force Attack
jk2_init() Found child 32623 in scoreboard slot 11,Normal Activity
connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Jun 18 02:08:11 2005,Normal Activity
Session: 30546354_2965591803 initialized by client WindowsUpdateAgent.,Normal Activity
Failed password for root from 112.95.230.3 port 44900 ssh2,Brute Force Attack
Warning: Unrecognized packageExtended attribute.,Normal Activity
connection from 83.116.207.11 (aml-sfh-3310b.adsl.wanadoo.nl) at Sun Jul 17 06:13:37 2005,Normal Activity
Session: 30546354_3172813655 initialized by client WindowsUpdateAgent.,Normal Activity
Received disconnect from 183.62.140.253: 11: Bye Bye [preauth],Brute Force Attack
ALERT exited abnormally with [1],Suspicious Activity
jk2_init() Found child 32740 in scoreboard slot 8,Normal Activity
"Read out cached package applicability for package: Package_for_KB2835174~31bf3856ad364e35~amd64~~6.1.1.0, ApplicableState: 0, CurrentState:0",Normal Activity
pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=183.62.140.253  user=root,Brute Force Attack
Session: 30546174_49119816 initialized by client WindowsUpdateAgent.,Normal Activity
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=202.181.236.180  user=root,Brute Force Attack
"Read out cached package applicability for package: Package_for_KB2742599~31bf3856ad364e35~amd64~~6.1.1.0, ApplicableState: 112, CurrentState:112",Normal Activity
pam_unix(sshd:auth): check pass; user unknown,Brute Force Attack
mod_jk child workerEnv in error state 7,Suspicious Activity
administrative privilege escalation detected,Privilege Escalation
mod_jk child workerEnv in error state 7,Suspicious Activity
Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Normal Activity
elevated privileges granted to unauthorized user root,Privilege Escalation
"Read out cached package applicability for package: Package_for_KB3092601~31bf3856ad364e35~amd64~~6.1.1.0, ApplicableState: 112, CurrentState:112",Normal Activity
mod_jk child workerEnv in error state 9,Suspicious Activity
mod_jk child workerEnv in error state 6,Suspicious Activity
pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=183.62.140.253  user=root,Brute Force Attack
jk2_init() Found child 8763 in scoreboard slot 9,Normal Activity
Received disconnect from 183.62.140.253: 11: Bye Bye [preauth],Brute Force Attack
mod_jk child workerEnv in error state 6,Suspicious Activity
connection from 211.72.2.106 () at Tue Jul  5 13:52:21 2005,Normal Activity
jk2_init() Found child 32576 in scoreboard slot 7,Normal Activity
sudo access used by unauthorized account root,Privilege Escalation
Failed password for root from 183.62.140.253 port 35825 ssh2,Brute Force Attack
Received disconnect from 187.141.143.180: 11: Bye Bye [preauth],Brute Force Attack
mod_jk child workerEnv in error state 8,Suspicious Activity
Startup processing thread terminated normally,Normal Activity
"Read out cached package applicability for package: Package_for_KB2685811~31bf3856ad364e35~amd64~~6.1.1.11, ApplicableState: 112, CurrentState:112",Normal Activity
pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=183.62.140.253  user=root,Brute Force Attack
jk2_init() Found child 1816 in scoreboard slot 9,Normal Activity
mod_jk child workerEnv in error state 7,Suspicious Activity
SQM: Cleaning up report files older than 10 days.,Normal Activity
suspicious malware process detected,Malware Activity
pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=183.62.140.253  user=root,Brute Force Attack
session opened for user test by (uid=509),Normal Activity
"Read out cached package applicability for package: Package_for_KB2911501~31bf3856ad364e35~amd64~~6.1.1.2, ApplicableState: 112, CurrentState:112",Normal Activity
Received disconnect from 183.62.140.253: 11: Bye Bye [preauth],Brute Force Attack
Received disconnect from 183.62.140.253: 11: Bye Bye [preauth],Brute Force Attack
Session: 30546354_2868336240 initialized by client WindowsUpdateAgent.,Normal Activity
"Read out cached package applicability for package: Package_for_KB3013531~31bf3856ad364e35~amd64~~6.1.2.0, ApplicableState: 112, CurrentState:112",Normal Activity
user root gained administrative privileges,Privilege Escalation
Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Normal Activity
workerEnv.init() ok /etc/httpd/conf/workers2.properties,Normal Activity
connection from 84.102.20.2 () at Sun Jul 24 02:38:22 2005,Normal Activity
Warning: Unrecognized packageExtended attribute.,Normal Activity
connection from 211.167.68.59 () at Sat Jun 25 19:25:30 2005,Normal Activity
connection from 211.107.232.1 () at Sun Jul 24 13:46:32 2005,Normal Activity
mod_jk child workerEnv in error state 7,Suspicious Activity
jk2_init() Found child 6038 in scoreboard slot 7,Normal Activity
elevated privileges granted to unauthorized user unknown,Privilege Escalation
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=c51471f2c.cable.wanadoo.nl  user=root,Brute Force Attack
Session: 30546174_89272113 initialized by client WindowsUpdateAgent.,Normal Activity
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=biblioteka.wsi.edu.pl,Brute Force Attack
user admin gained administrative privileges,Privilege Escalation
Session: 30546173_4280633483 initialized by client WindowsUpdateAgent.,Normal Activity
jk2_init() Found child 32564 in scoreboard slot 10,Normal Activity
Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Normal Activity
Failed password for root from 103.99.0.122 port 57956 ssh2,Brute Force Attack
pam_unix(sshd:auth): check pass; user unknown,Brute Force Attack
pam_unix(sshd:auth): check pass; user unknown,Brute Force Attack
jk2_init() Found child 32358 in scoreboard slot 8,Normal Activity
Failed password for root from 183.62.140.253 port 55784 ssh2,Brute Force Attack
connection from 62.99.164.82 (62.99.164.82.sh.interxion.inode.at) at Sun Jul  3 23:16:09 2005,Normal Activity
zapping low mappings.,Normal Activity
Failed password for root from 183.62.140.253 port 53697 ssh2,Brute Force Attack
workerEnv.init() ok /etc/httpd/conf/workers2.properties,Normal Activity
connection from 203.101.45.59 (dsl-Chn-static-059.45.101.203.touchtelindia.net) at Sun Jul  3 10:05:25 2005,Normal Activity
connection from 202.82.200.188 () at Fri Jul  1 07:57:30 2005,Normal Activity
Failed to internally open package. [HRESULT = 0x800f0805 - CBS_E_INVALID_PACKAGE],Normal Activity
Connection closed by 1.237.174.253 [preauth],Brute Force Attack
Warning: Unrecognized packageExtended attribute.,Normal Activity
sudo access used by unauthorized account admin,Privilege Escalation
sudo access used by unauthorized account unknown,Privilege Escalation
Invalid user anonymous from 103.99.0.122,Brute Force Attack
jk2_init() Found child 2084 in scoreboard slot 9,Normal Activity
session closed for user test,Normal Activity
Warning: Unrecognized packageExtended attribute.,Normal Activity
Session: 30546174_94042385 initialized by client WindowsUpdateAgent.,Normal Activity
"Read out cached package applicability for package: Package_for_KB3033889~31bf3856ad364e35~amd64~~6.1.1.0, ApplicableState: 112, CurrentState:112",Normal Activity
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=207.243.167.114  user=root,Brute Force Attack
Received disconnect from 187.141.143.180: 11: Bye Bye [preauth],Brute Force Attack
Session: 30546174_106683108 initialized by client WindowsUpdateAgent.,Normal Activity
Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Normal Activity
